frame,threshold,blink,ear_norm
0,0.0,0.0,0.4429829309240284
1,0.0,0.0,0.1987472950517588
2,0.0,0.0,0.3453199722104974
3,0.0,0.0,0.1157159083870171
4,0.0,0.0,0.25782225352897403
5,0.0,0.0,0.12306107040249603
6,0.0,0.0,0.12306107040249603
7,0.0,0.0,0.27031255711513885
8,0.0,1.0,0.2945166982660073
9,0.0,0.0,0.2987243180749197
10,0.0,0.0,0.2644075966110778
11,0.0,0.0,0.46291140771641387
12,0.0,0.0,0.2319521364889774
13,0.0,0.0,0.1242074975337802
14,0.0,0.0,0.1987472950517588
15,0.0,0.0,0.1987472950517588
16,0.0,0.0,0.179619103546668
17,1.0,0.0,0.5002720359513281
18,0.0,0.0,0.2721199252883853
19,0.0,0.0,0.5550448317684479
20,0.0,0.0,0.3784040501717751
21,0.0,0.0,0.6161059529384845
22,0.0,0.0,0.4475618216067996
23,0.0,0.0,0.4475618216067996
24,1.0,0.0,0.6380492421047352
25,0.0,0.0,0.7647915603206558
26,0.0,0.0,0.4065038225925224
27,0.0,0.0,0.7823443707207126
28,0.0,0.0,0.6564517181430066
29,0.0,0.0,0.6180032658369189
30,0.0,0.0,0.4544079723581483
31,0.0,0.0,0.35437902719266334
32,0.0,0.0,0.22940368745237621
33,0.0,0.0,0.22940368745237621
34,0.0,0.0,0.32250281716836765
35,0.0,0.0,0.29748815225060876
36,0.0,0.0,0.2958984243818332
37,0.0,0.0,0.3219235670705629
38,0.0,0.0,0.3219235670705629
39,0.0,0.0,0.35437902719266334
40,0.0,0.0,0.35437902719266334
41,0.0,0.0,0.18130118609721618
42,0.0,0.0,0.20644034298627878
43,0.0,0.0,0.17976209024269138
44,0.0,0.0,0.24256961218468162
45,0.0,0.0,0.20644034298627878
46,0.0,0.0,0.34937197182458074
47,0.0,0.0,0.34937197182458074
48,0.0,0.0,0.23544854490560901
49,0.0,0.0,0.23765036182655452
50,0.0,0.0,0.1458185785701823
51,0.0,0.0,0.25735274895150095
52,0.0,0.0,0.2327400678904016
53,0.0,0.0,0.2628411200362154
54,1.0,0.0,1.0
55,0.0,0.0,0.43029881471778203
56,0.0,0.0,0.5354597932164379
57,0.0,0.0,0.8609756754374706
58,0.0,0.0,0.8929456042963331
59,0.0,0.0,0.638690121757145
60,0.0,0.0,0.6197840711860817
61,0.0,0.0,0.5101503455941903
62,0.0,0.0,0.3426839965355648
63,0.0,0.0,0.4544079723581483
64,1.0,0.0,0.7650454371831769
65,0.0,0.0,0.36829554264962666
66,0.0,0.0,0.3937239511550896
67,0.0,0.0,0.4521228232866573
68,0.0,0.0,0.43030425732843325
69,0.0,0.0,0.3195732535186711
70,1.0,0.0,0.6167369263794179
71,0.0,0.0,0.2104840421485987
72,0.0,0.0,0.2662688579528189
73,0.0,0.0,0.23849120852823247
74,0.0,0.0,0.21188681574169838
75,0.0,0.0,0.26671778755720427
76,0.0,0.0,0.29512954851698514
77,0.0,0.0,0.4188078917298946
78,0.0,0.0,0.33015588231535536
79,0.0,0.0,0.2626740883948844
80,0.0,0.0,0.2930508891908394
81,0.0,0.0,0.23544854490560901
82,0.0,0.0,0.14871888151652243
83,0.0,0.0,0.26206123814390647
84,0.0,0.0,0.3942848164359194
85,0.0,0.0,0.2353773837447737
86,0.0,0.0,0.3421581853347866
87,0.0,0.0,0.4521228232866573
88,0.0,0.0,0.47840824470195636
89,0.0,0.0,0.4602803317045384
90,1.0,0.0,0.6351089188489071
91,0.0,0.0,0.3862655709482366
92,0.0,0.0,0.3862655709482366
93,0.0,0.0,0.39770136959155167
94,0.0,0.0,0.373452463690366
95,1.0,0.0,0.6908454179951088
96,0.0,0.0,0.5036885891069603
97,0.0,0.0,0.5289315812197224
98,0.0,0.0,0.35174319357899514
99,0.0,0.0,0.2359958356512973
100,1.0,0.0,0.5814403216356424
101,0.0,0.0,0.5484887527329072
102,0.0,0.0,0.21156016288044785
103,0.0,0.0,0.46227622731673396
104,0.0,0.0,0.21188681574169838
105,0.0,0.0,0.17721055145923895
106,0.0,0.0,0.17721055145923895
107,0.0,0.0,0.0
108,0.0,0.0,0.2683695355356223
109,0.0,0.0,0.2909219287080731
110,0.0,0.0,0.3318275655194991
111,0.0,0.0,0.4111046724636744
112,0.0,0.0,0.2624243220855852
113,0.0,0.0,0.27192632303494046
114,0.0,0.0,0.12306107040249603
115,0.0,0.0,0.3817893752802525
116,0.0,0.0,0.3325168763842774
117,0.0,0.0,0.03245344149742254
118,0.0,0.0,0.2314048457432891
119,0.0,0.0,0.3511779635219798
120,1.0,0.0,0.6350098410076842
121,0.0,0.0,0.6350098410076842
122,0.0,0.0,0.23094409944308616
